dTransDataVendita,hTransOraVendita,CodiceAcquirente,iProdID,vchClasseProdottoDescrizione,vchSpecieDescrizione,nTransQuantita,nTransPrezzoUnitario,nTransPrezzoVendita,nTransPrezzoFinale,iTransProgressivoBarca,iProduttoreID,iQualitaID,vchQualitaDescrizione,nNumCasse
2002/9/20,06:00,270,38,GRANDE,Calamaro,6.12,9.34,57.16,57.16,13,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:04,247,2,GRANDE,Seppia,7.04,5.55,39.07,39.07,23,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:06,159,56,GRANDE,Pannocchie Stivate,5.75,2.65,15.24,15.24,27,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:07,271,97,GRANDE,Triglia Eviscerata,6.96,0.84,5.85,5.85,29,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:07,278,56,GRANDE,Pannocchie Stivate,6,3.08,18.48,18.48,1,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:08,159,11,MEDIA,Sogliola,5.41,3.64,19.69,19.69,2,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:09,278,56,GRANDE,Pannocchie Stivate,5.74,2.65,15.21,15.21,5,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:10,80,56,GRANDE,Pannocchie Stivate,6.22,2.98,18.54,18.54,7,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:12,269,11,MEDIA,Sogliola,6.22,3.96,24.63,24.63,10,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:13,159,11,MEDIA,Sogliola,5.1,3.36,17.14,17.14,12,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:13,86,57,PICCOLA,Pannocchie Stivate,6.79,1.91,12.97,12.97,13,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:15,130,11,MEDIA,Sogliola,5.55,3.94,21.87,21.87,16,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:16,160,56,GRANDE,Pannocchie Stivate,5.12,2.98,15.26,15.26,18,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:17,164,11,MEDIA,Sogliola,5.75,4.05,23.29,23.29,19,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:19,259,11,MEDIA,Sogliola,4.48,3.68,16.49,16.49,23,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:20,259,11,MEDIA,Sogliola,8.68,3.68,31.94,31.94,24,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:20,259,11,MEDIA,Sogliola,5.86,3.68,21.56,21.56,25,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:20,259,11,MEDIA,Sogliola,7.5,3.68,27.6,27.6,26,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:21,259,11,MEDIA,Sogliola,4.28,3.68,15.75,15.75,27,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:21,78,12,PICCOLA,Sogliola,4.93,3.74,18.44,18.44,28,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:23,271,12,PICCOLA,Sogliola,5.53,3.17,17.53,17.53,34,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:24,145,11,MEDIA,Sogliola,5.43,3.88,21.07,21.07,35,58,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:31,247,57,PICCOLA,Pannocchie Stivate,10.73,0.11,1.18,1.18,2,96,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,06:32,130,57,PICCOLA,Pannocchie Stivate,11.68,0.2,2.34,2.34,3,96,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,06:33,145,57,PICCOLA,Pannocchie Stivate,12.31,0.3,3.69,3.69,6,96,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,06:34,145,57,PICCOLA,Pannocchie Stivate,7.89,0.62,4.89,4.89,7,130,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:35,170,57,PICCOLA,Pannocchie Stivate,7.92,0.78,6.18,6.18,1,130,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:36,106,57,PICCOLA,Pannocchie Stivate,5.19,0.43,2.23,2.23,1,126,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:36,170,15,PICCOLA,Nasello,5.28,2.21,11.67,11.67,1,126,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:37,244,15,PICCOLA,Nasello,4.62,1.64,7.58,7.58,3,126,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:38,170,78,GRANDE,Misto di Seconda scelta,5.38,1.58,8.5,8.5,5,126,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:39,271,57,PICCOLA,Pannocchie Stivate,7.47,0.54,4.03,4.03,1,122,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:40,83,114,GRANDE,Ghiozzo,4.1,1.74,7.13,7.13,2,122,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:40,162,57,PICCOLA,Pannocchie Stivate,14.79,0.23,3.4,3.4,3,122,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,06:47,271,81,PICCOLA,Testola,6.06,0.1,0.61,0.61,2,47,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:49,237,17,MEDIA,Triglia,12.7,0.54,6.86,6.86,4,47,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,06:53,170,181,PICCOLA,Sgombro,6.38,0.7,4.47,4.47,1,60,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:54,83,70,GRANDE,Zanchetta,4.71,1.42,6.69,6.69,2,60,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:54,160,17,MEDIA,Triglia,5.68,0.8,4.54,4.54,3,60,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,06:58,278,17,MEDIA,Triglia,6.24,0.88,5.49,5.49,3,126,2,Molto fresco e ben conservato (48 ore),1
2002/9/24,03:41,146,11,MEDIA,Sogliola,7.12,5.77,41.08,41.08,1,78,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:12,279,11,MEDIA,Sogliola,7.46,8.82,65.8,65.8,9,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:14,86,64,GRANDE,Pannocchie Miste,5.39,5.87,31.64,31.64,13,138,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:21,177,11,MEDIA,Sogliola,7.65,8.4,64.26,64.26,3,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:26,269,11,MEDIA,Sogliola,6.92,8.55,59.17,59.17,13,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:28,206,11,MEDIA,Sogliola,6.48,7.96,51.58,51.58,19,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:29,106,11,MEDIA,Sogliola,6.98,7.92,55.28,55.28,20,52,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:38,84,58,GRANDE,Mazzancolla,1.04,28.07,29.19,29.19,11,134,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:41,88,56,GRANDE,Pannocchie Stivate,5.91,2.77,16.37,16.37,2,67,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:48,123,78,GRANDE,Misto di Seconda scelta,4.31,14.81,63.83,63.83,2,75,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:48,87,16,GRANDE,Triglia,15.61,2.55,39.81,39.81,3,75,2,Molto fresco e ben conservato (48 ore),2
2002/9/19,05:52,279,15,PICCOLA,Nasello,5.49,6.73,36.95,36.95,10,75,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,05:52,107,16,GRANDE,Triglia,15.53,2.1,32.61,32.61,11,75,2,Molto fresco e ben conservato (48 ore),2
2002/9/19,05:57,106,38,GRANDE,Calamaro,2.94,15.99,47.01,47.01,8,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:01,174,96,GRANDE,Misto scelto,3,0,0,0,6,129,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:01,174,16,GRANDE,Triglia,8.74,2.1,18.35,18.35,7,129,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:07,247,11,MEDIA,Sogliola,8.48,7.72,65.47,65.47,7,83,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:19,279,54,GRANDE,Pannocchie Vive,5.95,6.97,41.47,41.47,7,118,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:20,279,54,GRANDE,Pannocchie Vive,4.58,6.83,31.28,31.28,9,118,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:23,196,97,GRANDE,Triglia Eviscerata,6.82,2.35,16.03,16.03,14,118,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:25,86,10,GRANDE,Sogliola,3.75,7.04,26.4,26.4,3,60,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:28,127,12,PICCOLA,Sogliola,2.24,6.08,13.62,13.62,2,66,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:29,83,97,GRANDE,Triglia Eviscerata,8.53,2.48,21.15,21.15,3,66,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:29,162,86,GRANDE,Molo,4.61,6.67,30.75,30.75,4,66,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:30,83,2,GRANDE,Seppia,7.56,8.85,66.91,66.91,6,66,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:31,78,96,GRANDE,Misto scelto,2.23,24.55,54.75,54.75,8,66,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:32,187,78,GRANDE,Misto di Seconda scelta,1.55,8.71,13.5,13.5,10,66,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:38,177,17,MEDIA,Triglia,14.58,0.63,9.19,9.19,5,21,2,Molto fresco e ben conservato (48 ore),2
2002/9/19,06:41,80,78,GRANDE,Misto di Seconda scelta,3.94,1.23,4.85,4.85,10,21,2,Molto fresco e ben conservato (48 ore),1
2002/9/19,06:49,189,55,PICCOLA,Pannocchie Vive,10.66,0.56,5.97,5.97,3,139,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,03:43,160,56,GRANDE,Pannocchie Stivate,5.98,0.93,5.56,5.56,3,146,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,03:43,279,49,GRANDE,Mollame Misto,5.51,3.98,21.93,21.93,4,146,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,03:44,161,149,GRANDE,Razza,1.93,5.02,9.69,9.69,5,146,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,03:45,83,15,PICCOLA,Nasello,8.39,2.67,22.4,22.4,7,146,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,03:56,279,139,GRANDE,Sgombro,8.95,3.98,35.62,35.62,15,21,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:02,182,97,GRANDE,Triglia Eviscerata,13.28,1.18,15.67,15.67,25,21,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,04:07,206,38,GRANDE,Calamaro,5.07,6.66,33.77,33.77,34,21,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:12,92,56,GRANDE,Pannocchie Stivate,12.36,1.02,12.61,12.61,9,67,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,04:18,210,86,GRANDE,Molo,6.65,1.3,8.65,8.65,3,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:19,237,15,PICCOLA,Nasello,6.52,2.17,14.15,14.15,5,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:20,138,3,MEDIA,Seppia,5.22,8.01,41.81,41.81,7,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:21,279,14,MEDIA,Nasello,7.61,11.35,86.37,86.37,8,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:21,117,16,GRANDE,Triglia,6.6,0.92,6.07,6.07,9,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:22,199,145,GRANDE,Pesce Azzurro Misto,6.78,1.19,8.07,8.07,12,104,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:26,90,97,GRANDE,Triglia Eviscerata,4.84,1.61,7.79,7.79,2,54,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:28,90,15,PICCOLA,Nasello,6.32,3.47,21.93,21.93,7,54,2,Molto fresco e ben conservato (48 ore),1
2002/9/20,04:33,136,56,GRANDE,Pannocchie Stivate,15.38,1.11,17.07,17.07,16,54,2,Molto fresco e ben conservato (48 ore),2
2002/9/20,04:33,221,86,GRANDE,Molo,6.07,1.51,9.17,9.17,18,54,2,Molto fresco e ben conservato (48 ore),1
